yolov3-tiny-data
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Loaded: 9.509367 seconds
Region 16 Avg IOU: 0.269530, Class: 0.558398, Obj: 0.679395, No Obj: 0.603339, .5R: 0.166667, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.169647, Class: 0.820146, Obj: 0.750711, No Obj: 0.503368, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 16 Avg IOU: 0.241796, Class: 0.398256, Obj: 0.630168, No Obj: 0.605625, .5R: 0.181818, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.177147, Class: 0.402929, Obj: 0.572266, No Obj: 0.505445, .5R: 0.000000, .75R: 0.000000,  count: 6
2: 428.747589, 438.442047 avg, 0.000000 rate, 239.651115 seconds, 128 images
Loaded: 0.000065 seconds
Region 16 Avg IOU: 0.187998, Class: 0.400809, Obj: 0.676386, No Obj: 0.600825, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 23 Avg IOU: 0.192486, Class: 0.546670, Obj: 0.518154, No Obj: 0.506219, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.175773, Class: 0.433721, Obj: 0.701279, No Obj: 0.600208, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.147689, Class: 0.604150, Obj: 0.470874, No Obj: 0.505286, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.270530, Class: 0.397731, Obj: 0.718571, No Obj: 0.609268, .5R: 0.083333, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.278752, Class: 0.630795, Obj: 0.655528, No Obj: 0.506357, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.237216, Class: 0.526292, Obj: 0.588982, No Obj: 0.608468, .5R: 0.200000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.164166, Class: 0.680857, Obj: 0.502936, No Obj: 0.505239, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 16 Avg IOU: 0.212856, Class: 0.438967, Obj: 0.665153, No Obj: 0.600787, .5R: 0.181818, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.187973, Class: 0.427489, Obj: 0.566252, No Obj: 0.506646, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 16 Avg IOU: 0.182981, Class: 0.542513, Obj: 0.658289, No Obj: 0.602447, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.199785, Class: 0.477851, Obj: 0.422130, No Obj: 0.507347, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 16 Avg IOU: 0.082941, Class: 0.498087, Obj: 0.671261, No Obj: 0.603515, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.141840, Class: 0.728094, Obj: 0.809334, No Obj: 0.504020, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 16 Avg IOU: 0.176028, Class: 0.441342, Obj: 0.669621, No Obj: 0.606156, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.140347, Class: 0.424826, Obj: 0.415959, No Obj: 0.505772, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.110873, Class: 0.437230, Obj: 0.668772, No Obj: 0.607618, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.143789, Class: 0.663968, Obj: 0.520412, No Obj: 0.507242, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.153176, Class: 0.434295, Obj: 0.711011, No Obj: 0.603056, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.030900, Class: 0.553266, Obj: 0.206393, No Obj: 0.505746, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 16 Avg IOU: 0.169046, Class: 0.490620, Obj: 0.738656, No Obj: 0.606612, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.179025, Class: 0.490713, Obj: 0.499094, No Obj: 0.504939, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.205738, Class: 0.459137, Obj: 0.677306, No Obj: 0.601105, .5R: 0.076923, .75R: 0.000000,  count: 13
Region 23 Avg IOU: 0.149865, Class: 0.730775, Obj: 0.544589, No Obj: 0.506565, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.108212, Class: 0.531594, Obj: 0.697272, No Obj: 0.604389, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.113088, Class: 0.406262, Obj: 0.715201, No Obj: 0.505735, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 16 Avg IOU: 0.221462, Class: 0.440424, Obj: 0.702014, No Obj: 0.604509, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.076575, Class: 0.506846, Obj: 0.512905, No Obj: 0.501426, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 16 Avg IOU: 0.152311, Class: 0.507006, Obj: 0.709294, No Obj: 0.604992, .5R: 0.090909, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.241809, Class: 0.583337, Obj: 0.563177, No Obj: 0.504736, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.088879, Class: 0.483911, Obj: 0.705661, No Obj: 0.601780, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.563804, Class: 0.898692, Obj: 0.795865, No Obj: 0.504177, .5R: 1.000000, .75R: 0.000000,  count: 1
3: 437.803986, 438.378235 avg, 0.000000 rate, 241.085237 seconds, 192 images
Loaded: 0.000056 seconds
Region 16 Avg IOU: 0.221813, Class: 0.416129, Obj: 0.749312, No Obj: 0.603014, .5R: 0.166667, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.157104, Class: 0.688227, Obj: 0.620541, No Obj: 0.507934, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.090625, Class: 0.453293, Obj: 0.645551, No Obj: 0.602225, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 23 Avg IOU: 0.125515, Class: 0.500270, Obj: 0.567467, No Obj: 0.506951, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.150340, Class: 0.274433, Obj: 0.669313, No Obj: 0.605023, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.113486, Class: 0.612629, Obj: 0.395792, No Obj: 0.507499, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 16 Avg IOU: 0.172455, Class: 0.465502, Obj: 0.753550, No Obj: 0.605702, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.165389, Class: 0.622546, Obj: 0.603396, No Obj: 0.506388, .5R: 0.166667, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.241867, Class: 0.472977, Obj: 0.611240, No Obj: 0.606686, .5R: 0.083333, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.152719, Class: 0.833042, Obj: 0.754860, No Obj: 0.506092, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.186803, Class: 0.441983, Obj: 0.723871, No Obj: 0.597756, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.204875, Class: 0.717826, Obj: 0.484507, No Obj: 0.505441, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.204816, Class: 0.501544, Obj: 0.632374, No Obj: 0.603764, .5R: 0.083333, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.274152, Class: 0.653806, Obj: 0.754474, No Obj: 0.506539, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.154938, Class: 0.495568, Obj: 0.721120, No Obj: 0.606680, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 23 Avg IOU: 0.178432, Class: 0.727137, Obj: 0.369348, No Obj: 0.503998, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.218361, Class: 0.432264, Obj: 0.717865, No Obj: 0.604172, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.084866, Class: 0.567081, Obj: 0.633371, No Obj: 0.507225, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.283108, Class: 0.420488, Obj: 0.745788, No Obj: 0.604545, .5R: 0.153846, .75R: 0.000000,  count: 13
Region 23 Avg IOU: 0.150397, Class: 0.486389, Obj: 0.636539, No Obj: 0.507020, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.227759, Class: 0.656908, Obj: 0.621157, No Obj: 0.606583, .5R: 0.090909, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.088801, Class: 0.380473, Obj: 0.458924, No Obj: 0.506183, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.093719, Class: 0.435092, Obj: 0.749885, No Obj: 0.605041, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.099692, Class: 0.856690, Obj: 0.493314, No Obj: 0.507371, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 16 Avg IOU: 0.200334, Class: 0.468973, Obj: 0.633641, No Obj: 0.603333, .5R: 0.090909, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.296965, Class: 0.584640, Obj: 0.629729, No Obj: 0.505294, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.164363, Class: 0.512380, Obj: 0.636124, No Obj: 0.601408, .5R: 0.000000, .75R: 0.000000,  count: 14
Region 23 Avg IOU: 0.076757, Class: 0.556674, Obj: 0.805485, No Obj: 0.503072, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 16 Avg IOU: 0.203577, Class: 0.569315, Obj: 0.675941, No Obj: 0.607453, .5R: 0.090909, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.258135, Class: 0.502605, Obj: 0.639402, No Obj: 0.506068, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.132354, Class: 0.409581, Obj: 0.652093, No Obj: 0.601765, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.132224, Class: 0.682965, Obj: 0.543175, No Obj: 0.505066, .5R: 0.000000, .75R: 0.000000,  count: 6
4: 437.707428, 438.311157 avg, 0.000000 rate, 235.618967 seconds, 256 images
Loaded: 0.000065 seconds
Region 16 Avg IOU: 0.222411, Class: 0.437351, Obj: 0.696286, No Obj: 0.601948, .5R: 0.181818, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.214881, Class: 0.593831, Obj: 0.602612, No Obj: 0.505504, .5R: 0.142857, .75R: 0.000000,  count: 7
Region 16 Avg IOU: 0.132372, Class: 0.396302, Obj: 0.564322, No Obj: 0.603258, .5R: 0.083333, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.166410, Class: 0.797583, Obj: 0.461928, No Obj: 0.505711, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.219051, Class: 0.486261, Obj: 0.643243, No Obj: 0.603818, .5R: 0.181818, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.243579, Class: 0.430739, Obj: 0.398336, No Obj: 0.506611, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 16 Avg IOU: 0.277752, Class: 0.452385, Obj: 0.611300, No Obj: 0.606683, .5R: 0.230769, .75R: 0.076923,  count: 13
Region 23 Avg IOU: 0.182005, Class: 0.691516, Obj: 0.606226, No Obj: 0.508142, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 16 Avg IOU: 0.157919, Class: 0.469027, Obj: 0.734415, No Obj: 0.607496, .5R: 0.000000, .75R: 0.000000,  count: 14
Region 23 Avg IOU: 0.212674, Class: 0.691589, Obj: 0.559019, No Obj: 0.503194, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 16 Avg IOU: 0.167635, Class: 0.422522, Obj: 0.572478, No Obj: 0.602638, .5R: 0.000000, .75R: 0.000000,  count: 11
